Title,Year,Journal,Volume,Issue,Pages,Authors,Publisher,Abstract
"""Kaspar"" the robot helps autistic kids play",2008,INDUSTRIAL ROBOT-AN INTERNATIONAL JOURNAL,35,2,177-177,[Anonymous] and [Anonymous],EMERALD GROUP PUBLISHING LIMITED,
In-home Robots Improve Social Skills in Children With Autism,2018,JAMA,320,14,1425,"Abbasi, J.",,
Training social skills of children with ASD through social virtual robot,2021,"Proceedings - 2021 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops, VRW 2021",,,314-319,"Abdelmohsen, M. and Arafa, Y.",,"In this paper, the researchers presenting an ongoing study that aims to evaluate the effectiveness of combing Virtual Reality (VR) and social robot as a novel approach to enhance the social skills of children with autism spectrum disorders (ASD). Using Unity 3D, a desktop Virtual environment that employs a virtual robot to interact with the participants through social skill training programme has been developed. 15 children with ASD are participating in the study to evaluate the effectiveness of the developed tool. The initial results show improvement in the skills of the participants. © 2021 IEEE."
Development of robot-human imitation program for telerehabilitation system,2019,"Proceedings - International Conference on Developments in eSystems Engineering, DeSE",2018,,198-201,"Abiddin, W.Z.B.W.Z. and Jailani, R. and Omar, A.R.",,"This paper presents the development of a robothuman imitation program which will be used in a telerehabilitation system for children with disabilities. The purpose of this project is to provide an easier and more efficient way of providing a rehabilitation process for children with disabilities, especially for autistic children. The number of autistic patients needing rehabilitation is increasing rapidly and with the problem of shortage of professional therapist, this can be an alternative solution to assist the therapist during rehabilitation period. Therefore, robot-human imitation program is developed consisting of autonomous programmable humanoid robot NAO and Microsoft Kinect as the motionsensing input device. The imitation program is conducted by sets of instructions given to the patients to imitate certain pose done by humanoid robot NAO. Microsoft Kinect Sensor is used to determine whether the imitation follows the required criteria or not. Matlab software interacts with both humanoid robot NAO and Microsoft Kinect Sensor to perform the rehabilitation program. The number of trials needed to achieve the required imitation will be translated into points and these points will be uploaded into online database for record and evaluation process. © 2018 IEEE."
Robot - Assisted therapy for autistic children,2017,Conference Proceedings - IEEE SOUTHEASTCON,,,,"Ackovska, N. and Kir and ziska, V. and Tanevska, A. and Bozinovska, L. and Bozinovski, A.",,"Using robots as an assistive technology gave rise to Robot Assisted Therapy. It is one of the fastest-growing fields in the research area. Many target groups benefit from the rehabilitative interaction with robots, especially humanoid ones. One of the most important groups are the children suffering from Autism Spectrum Disorder (ASD). Over the past fifteen years there has been a lot of progress in treating autistic children through robotic interaction for therapeutic purposes. This paper presents the work done in implementing a NAO humanoid robot in a research experiment with ASD children. © 2017 IEEE."
Towards the applicability of nao robot for children with autism in Pakistan,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10515,,463-472,"Ahmad, M.I. and Shahid, S. and Tahir, A.",,"In this paper, we present a HRI study that reports on the potential of NAO as a socially assistive robot in Pakistan. Our findings generated through interviewing 2 parents and 5 teachers on the plausibility of using NAO robot as an interaction partner show that both groups welcomed the use of NAO at schools. They, however, were sceptical due to missing NAO’s facial expressions and certain body parts such as nose and lips. They also emphasised the importance of creating natural text to speech interface for the Urdu Language. Our findings taken from 7 autistic children to measure their level of social interaction during HRI revealed that children positively engaged with the NAO robot and showed a significant number of both verbal and non-verbal behaviours. © IFIP International Federation for Information Processing 2017 Published by Springer International Publishing AG 2017. All Rights Reserved."
A Cloud Robotic System based on Robot Companions for Children with Autism Spectrum Disorders to Perform Evaluations during LEGO Engineering Workshops,2015,ACM/IEEE International Conference on Human-Robot Interaction,2,,173-174,"Albo-Canals, J. and Feerst, D. and De Cordoba, D. and Rogers, C.",,"In this paper, we propose a non-invasive way to measure the level of anxiety and stress of participants in the Autism Spectrum Disorders without using wearable devices. This measurement is done through a robot companion, which will log children behavior during children's social skills training sessions based on building LEGO Robotics. All this data can be uploaded to a cloud system for future comparison and research. The work presented is the validation of the technology proposed and the session's layout. © 2015 Authors."
Comparing two LEGO Robotics-based interventions for social skills training with children with ASD,2013,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,,,638-643,"Albo-Canals, J. and Heerink, M. and Diaz, M. and Padillo, V. and Maristany, M. and Barco, A. and Angulo, C. and Riccio, A. and Brodsky, L. and Dufresne, S. and Heilbron, S. and Milto, E. and Choueiri, R. and Hannon, D. and Rogers, C.",,"This paper presents an analysis of two comparable studies with LEGO Robotics-based activities in a social skills training program for children with autism spectrum disorders (ASD). One study has been carried out with a group of 16 children in the Unit of Pediatrics Psychology and Psychiatry in HSJD in Barcelona, Spain and the other with a group of 17 children at the Center for Education and Engineering Outreach (Tufts U.) in Boston, USA. The aim of this comparison is discuss lessons learnt and develop empirical based guidelines for intervention design. © 2013 IEEE."
A Pilot Study of the KIBO Robot in Children with Severe ASD,2018,International Journal of Social Robotics,10,3,371-383,"Albo-Canals, J. and Martelo, A.B. and Relkin, E. and Hannon, D. and Heerink, M. and Heinemann, M. and Leidl, K. and Bers, M.U.",,"This pilot study explores the feasibility of using the KIBO Robot as an engaging platform to positively impact social and emotional development in children with ASD. KIBO is a programmable toy robot originally designed to teach coding and sequencing to neuro-typical children between 4 and 7 years of age. To assess its use in children with severe ASD, twelve participants were introduced to KIBO and engaged in a variety of activities with the robot over four consecutive days. Their interactions were observed on site by raters and simultaneously videotaped for later analysis. We performed a detailed quantitative and qualitative analysis in two subjects who completed six or more of the eight planned KIBO play sessions. We observed that most of the participants showed sustained interest in the KIBO robot and increased the frequency of their interactions with adults across play sessions. Although the participants demonstrated only a limited understanding of programming principles during the study, they managed to manipulate the KIBO appropriately, engaged socially with the adults in the room and interacted positively with the robot during individual play. The findings suggest that the KIBO robot warrants further study as an engaging educational platform for children with ASD. © 2018, Springer Science+Business Media B.V., part of Springer Nature."
The effect of applying humanoid robots as teacher assistants to help Iranian autistic pupils learn English as a Foreign language,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9388,,01-Oct,"Alemi, M. and Meghdari, A. and Basiri, N.M. and Taheri, A.",,"The present case study investigated the effect of applying a humanoid robot as a teacher assistant to teach a foreign language (English in this case) to Iranian children with autism. To do this, there were 4 male autistic children, 7-9 years old, 3 with high-functioning autism and one with low-functioning autism. The humanoid robot NAO was used as the main instrument of this study. There were 12 sessions including 10 teaching sessions. This study used a pre-test, mid-test, immediate post-test, and delayed post-test design to measure the learning gains of the autistic children participating in the robot-assisted language learning (RALL) program. The results showed the subjects’ large learning gains which were fairly persistent according to their performances on the delayed post-test. The difference observed between the learning gains of the high-functioning and low-functioning participants is also discussed. © Springer International Publishing Switzerland 2015."
